brand,model_family,variant,generation,node_id,coverage_status,applicable_count,na_count,needs_review_count,approved_count,last_updated_at
BMW,R 1300 GS,base,KA1,ENGINE.LUBE.FILTER,VERIFIED,1,0,0,0,2026-06-16T12:00:00.000Z
BMW,R 1300 GS,base,KA1,ENGINE.LUBE.OIL,NEEDS_REVIEW,0,0,0,0,2026-06-16T12:00:00.000Z
BMW,R 1300 GS,base,KA1,INTAKE.FILTER,NOT_FOUND,0,0,0,0,2026-06-16T12:00:00.000Z
BMW,R 1300 GS,base,KA1,ELECTRICS.IGNITION.SPARK,NEEDS_REVIEW,0,0,0,0,2026-06-16T12:00:00.000Z
BMW,R 1300 GS,base,KA1,BRAKES.FRONT.PADS,NEEDS_REVIEW,0,0,0,0,2026-06-16T12:00:00.000Z
BMW,R 1300 GS,base,KA1,BRAKES.REAR.PADS,NEEDS_REVIEW,0,0,0,0,2026-06-16T12:00:00.000Z
BMW,R 1300 GS,base,KA1,BRAKES.FRONT.DISC,NEEDS_REVIEW,0,0,0,0,2026-06-16T12:00:00.000Z
BMW,R 1300 GS,base,KA1,BRAKES.REAR.DISC,NEEDS_REVIEW,0,0,0,0,2026-06-16T12:00:00.000Z
BMW,R 1300 GS,base,KA1,BRAKES.FLUID,VERIFIED,0,0,0,0,2026-06-16T12:00:00.000Z
BMW,R 1300 GS,base,KA1,TIRES.FRONT,VERIFIED,0,0,0,0,2026-06-16T12:00:00.000Z
BMW,R 1300 GS,base,KA1,TIRES.REAR,VERIFIED,0,0,0,0,2026-06-16T12:00:00.000Z
BMW,R 1300 GS,base,KA1,ELECTRICS.BATTERY,NEEDS_REVIEW,0,0,0,0,2026-06-16T12:00:00.000Z
BMW,R 1300 GS,base,KA1,SUSPENSION.FRONT.SEALS,NOT_APPLICABLE,0,1,0,0,2026-06-16T12:00:00.000Z
BMW,R 1300 GS,base,KA1,SUSPENSION.FRONT.OIL,NOT_APPLICABLE,0,1,0,0,2026-06-16T12:00:00.000Z
BMW,R 1300 GS,base,KA1,COOLING.LIQUID.COOLANT,VERIFIED,0,0,0,0,2026-06-16T12:00:00.000Z
BMW,R 1300 GS,base,KA1,DRIVETRAIN.CHAIN,NOT_APPLICABLE,0,1,0,0,2026-06-16T12:00:00.000Z
BMW,R 1300 GS,base,KA1,DRIVETRAIN.FRONT_SPROCKET,NOT_APPLICABLE,0,1,0,0,2026-06-16T12:00:00.000Z
BMW,R 1300 GS,base,KA1,DRIVETRAIN.REAR_SPROCKET,NOT_APPLICABLE,0,1,0,0,2026-06-16T12:00:00.000Z
